,Word,Frequency,tf_idf
3287,amongst,79,0.00016344958184616996
3322,commercial,78,0.0001633141068798171
3310,swiss,78,0.0001633141068798171
3284,steer,79,0.00016313810558525875
3278,substantial,79,0.00016313810558525875
3279,downright,79,0.00016313810558525875
3283,pushed,79,0.00016313810558525875
3320,handling,78,0.00016298076553861656
3315,lied,78,0.00016298076553861656
3300,indian,78,0.00016298076553861656
3324,beach,77,0.00016293846869541666
3377,villa,75,0.00016288453528580485
3285,speedy,79,0.00016283059728281724
3277,sticking,79,0.00016283059728281724
3276,drenched,79,0.00016283059728281724
3282,enjoys,79,0.00016283059728281724
3295,passion,78,0.0001626520221558331
3293,southside,78,0.00016232775161108116
3290,rain,78,0.00016232775161108116
3304,communication,78,0.00016200783382268888
3312,ripped,78,0.00016200783382268888
3297,liberty,78,0.00016200783382268888
3292,central,78,0.00016200783382268888
3309,freezing,78,0.00016200783382268888
3314,catered,78,0.00016200783382268888
3316,diced,78,0.00016169215348072632
3294,significantly,78,0.00016169215348072632
3391,mousse,75,0.00016166742572356967
3456,eddie,73,0.0001615774749042169
3331,focaccia,77,0.00016155407179592327
3321,halfway,78,0.00016138059979748428
3299,valley,78,0.00016138059979748428
3291,million,78,0.00016138059979748428
3368,confit,75,0.00016127567526723498
3296,smallest,78,0.00016107306627405294
3298,torn,78,0.00016107306627405294
3313,patronize,78,0.00016107306627405294
3306,opt,78,0.00016107306627405294
3318,dump,78,0.00016107306627405294
3311,bargain,78,0.00016107306627405294
3341,farmer,77,0.00016089126854453172
3342,florida,77,0.00016089126854453172
3353,porter,76,0.00016082238468638528
3458,matteo,73,0.0001606669106059769
3333,combine,77,0.0001605667398205019
3328,slimy,77,0.0001605667398205019
3387,rehearsal,75,0.00016051170973659107
3471,broasted,72,0.00016030040358471078
3337,express,77,0.00016024662659042626
3325,stepped,77,0.00016024662659042626
3335,explore,77,0.00016024662659042626
3329,sit-down,77,0.00016024662659042626
3352,kicked,76,0.00016012912718864312
3359,rose,76,0.00016012912718864312
3539,biga,70,0.00015993410538379452
3332,dear,77,0.00015993081031214157
3326,remarkable,77,0.00015993081031214157
3357,tremendous,76,0.000159790108006326
3336,moderately,77,0.00015961917715405033
3330,imported,77,0.00015961917715405033
3366,accent,76,0.00015945596696740477
3369,champagne,75,0.00015941148996742875
3327,dropping,77,0.0001593116177487986
3339,demand,77,0.0001593116177487986
3340,pinch,77,0.0001593116177487986
3355,teenage,76,0.0001591265656777705
3344,substitution,76,0.0001591265656777705
3413,mug,74,0.00015912533293033852
3360,action,76,0.0001588017715504469
3453,fazio,73,0.0001585409476781834
3459,meatloaf,73,0.0001585409476781834
3361,thankful,76,0.0001584814574851707
3358,execution,76,0.0001584814574851707
3351,cured,76,0.0001584814574851707
3349,seared,76,0.0001584814574851707
3472,tetto,72,0.00015846599402233338
3365,newly,76,0.00015816550156977138
3354,traveled,76,0.00015816550156977138
3356,gummy,76,0.00015816550156977138
3343,silly,76,0.00015816550156977138
3442,monte,73,0.00015813903179898156
3389,statement,75,0.00015802216498879258
3374,steamed,75,0.00015802216498879258
3421,dave,74,0.00015800388232337412
3363,focused,76,0.0001578537868015943
3348,aroma,76,0.0001578537868015943
3350,pre,76,0.0001578537868015943
3435,tzatziki,73,0.00015774422984993265
3447,fucking,73,0.00015774422984993265
3392,bang,75,0.00015768760658519014
3347,grow,76,0.00015754620082737434
3345,occasional,76,0.00015754620082737434
3364,carried,76,0.00015754620082737434
3371,spin,75,0.0001573578621388863
3403,dedicated,75,0.0001573578621388863
3405,yea,75,0.0001573578621388863
3399,marzano,75,0.0001573578621388863
3532,stancato,70,0.00015729011979705233
3635,nunzio,67,0.0001572479418249639
3476,elyria,72,0.00015718406814428938
3375,executed,75,0.0001570327950767472
3454,cuban,73,0.00015697499059344204
3404,trend,75,0.0001567122745563621
3376,chatted,75,0.0001567122745563621
3400,inventive,75,0.0001567122745563621
3500,speck,71,0.00015670336733478914
3388,endless,75,0.00015639617514983954
3396,delighted,75,0.00015639617514983954
3372,surface,75,0.00015639617514983954
3393,narrow,75,0.00015639617514983954
3394,joy,75,0.00015639617514983954
3382,melty,75,0.00015639617514983954
3398,nervous,75,0.00015639617514983954
3370,western,75,0.00015639617514983954
3422,willy,74,0.00015625019092660328
3423,braised,74,0.00015625019092660328
3406,pours,74,0.00015625019092660328
3408,chick,74,0.00015625019092660328
3379,knowledge,75,0.0001560843765491165
3383,remodeled,75,0.0001560843765491165
3390,heavily,75,0.0001560843765491165
3385,soak,75,0.0001560843765491165
3401,hunger,75,0.0001560843765491165
3397,suit,75,0.0001560843765491165
3402,patience,75,0.0001560843765491165
3378,coated,75,0.0001560843765491165
3367,horrendous,75,0.0001560843765491165
3381,sober,75,0.0001560843765491165
3380,blowing,75,0.0001560843765491165
3475,oyster,72,0.00015597274369214619
3606,mm,68,0.00015591867070625186
3445,rack,73,0.00015586869472440962
3441,mario,73,0.00015586869472440962
3395,surrounded,75,0.000155776763291047
3373,fluke,75,0.000155776763291047
3384,reviewing,75,0.000155776763291047
3414,mountain,74,0.00015558510516405427
3409,2am,74,0.00015558510516405427
3410,mint,74,0.0001552597573103678
3417,poisoning,74,0.0001552597573103678
3424,finest,74,0.00015493902447572393
3407,disorganized,74,0.00015493902447572393
3492,whirl,72,0.00015482464825654558
3433,lent,73,0.00015481468473691615
3416,incompetent,74,0.00015462277756227725
3419,irritated,74,0.00015462277756227725
3418,learning,74,0.00015462277756227725
3430,horseradish,73,0.00015447413265929112
3489,horeb,72,0.00015445488879822046
3420,treatment,74,0.00015431089281450834
3415,speaks,74,0.00015431089281450834
3412,creating,74,0.00015431089281450834
3440,euclid,73,0.00015413870186002757
3436,source,73,0.00015413870186002757
3496,brunswick,72,0.00015409124134712742
3439,jukebox,73,0.00015380824058909142
3446,moscow,73,0.00015380824058909142
3428,instruction,73,0.00015380824058909142
3490,ahi,72,0.0001537335071254451
3460,allergic,73,0.0001534826037429184
3507,tagliatelle,71,0.0001534224701280167
3491,'za,72,0.0001533814968975222
3448,loss,73,0.00015316165248184933
3462,reply,73,0.00015316165248184933
3452,yorker,73,0.00015316165248184933
3425,texas,73,0.00015316165248184933
3450,slower,73,0.00015316165248184933
3443,5-star,73,0.00015316165248184933
3477,niece,72,0.00015303503036873158
3479,shitty,72,0.00015303503036873158
3455,pressed,73,0.00015284525387470062
3431,shaped,73,0.00015284525387470062
3427,inform,73,0.00015284525387470062
3449,television,73,0.00015284525387470062
3571,taglio,69,0.00015272391463549268
3465,remade,72,0.000152693935630931
3473,theater,72,0.000152693935630931
3482,verona,72,0.000152693935630931
3432,busier,73,0.0001525332805681924
3457,rank,73,0.0001525332805681924
3434,reminiscent,73,0.0001525332805681924
3437,4pm,73,0.0001525332805681924
3438,highest,73,0.0001525332805681924
3536,vinny,70,0.00015241803698567817
3548,gateway,70,0.00015241803698567817
3596,sittoo,68,0.00015231844158467754
3505,beppo,71,0.00015230968200935632
3515,roommate,71,0.00015230968200935632
3461,tempted,73,0.00015222561047917714
3429,updating,73,0.00015222561047917714
3426,resist,73,0.00015222561047917714
3444,dying,73,0.00015222561047917714
3622,anna,67,0.00015202969075134675
3629,guido,67,0.00015202969075134675
3478,epic,72,0.00015202721279345183
3481,brie,72,0.00015202721279345183
3474,grain,72,0.00015202721279345183
3484,laughing,72,0.00015202721279345183
3673,sarafino,66,0.00015188537769656176
3466,ne,72,0.00015138010232178253
3495,staring,72,0.00015106354765333083
3483,addictive,72,0.00015106354765333083
3601,kavsar,68,0.00015094797100414738
3499,shoe,71,0.00015090954383583256
3487,sake,72,0.0001507514832736773
3470,asap,72,0.0001507514832736773
3488,successful,72,0.0001507514832736773
3493,adventure,72,0.0001507514832736773
